Name, Discomfort, Time, Precision, Posture, AngleDis, InterDis, YAxisDis, HyperDis, ActualHandThumbIP, ActualHandThumbMP, ActualHandThumbTMCx, ActualHandThumbTMCy, ActualHandThumbTMCz, ActualHandThumbTMCw, ActualHandindexDIP, ActualHandindexPIP, ActualHandindexMCPx, ActualHandindexMCPy, ActualHandindexMCPz, ActualHandindexMCPw, ActualHandmiddleDIP, ActualHandmiddlePIP, ActualHandmiddleMCPx, ActualHandmiddleMCPy, ActualHandmiddleMCPz, ActualHandmiddleMCPw, ActualHandringDIP, ActualHandringPIP, ActualHandringMCPx, ActualHandringMCPy, ActualHandringMCPz, ActualHandringMCPw, ActualHandpinkyDIP, ActualHandpinkyPIP, ActualHandpinkyMCPx, ActualHandpinkyMCPy, ActualHandpinkyMCPz, ActualHandpinkyMCPw, ActualHandRotx, ActualHandRoty, ActualHandRotz, ActualHandRotw, ActualHandPosx, ActualHandPosy, ActualHandPosz, GivenHandThumbIP, GivenHandThumbMP, GivenHandThumbTMCx, GivenHandThumbTMCy, GivenHandThumbTMCz, GivenHandThumbTMCw, GivenHandindexDIP, GivenHandindexPIP, GivenHandindexMCPx, GivenHandindexMCPy, GivenHandindexMCPz, GivenHandindexMCPw, GivenHandmiddleDIP, GivenHandmiddlePIP, GivenHandmiddleMCPx, GivenHandmiddleMCPy, GivenHandmiddleMCPz, GivenHandmiddleMCPw, GivenHandringDIP, GivenHandringPIP, GivenHandringMCPx, GivenHandringMCPy, GivenHandringMCPz, GivenHandringMCPw, GivenHandpinkyDIP, GivenHandpinkyPIP, GivenHandpinkyMCPx, GivenHandpinkyMCPy, GivenHandpinkyMCPz, GivenHandpinkyMCPw, GivenHandRotx, GivenHandRoty, GivenHandRotz, GivenHandRotw, GivenHandPosx, GivenHandPosy, GivenHandPosz
Unnamed, 602.6802, 0.4808277, 0.07367293, flat, 183.8089, 393.0704, 104.8049, 0, 2.621968, 2.401266, -0.122187, 0.4576574, 0.4576574, 0.7524425, 6.704228, 6.990415, -0.04764182, 0.07238096, 0.07238096, 0.9936057, 6.385033, 6.544576, -0.07446913, -0.05762314, -0.05762314, 0.9938881, 5.034934, 4.543123, -0.08857667, -0.1962318, -0.1962318, 0.9566298, 5.6249, 6.985166, -0.07099982, -0.3704639, -0.3704639, 0.8488063, -0.02503904, -0.1867394, -0.1867394, 0.9641731, -0.05559826, -0.0530906, -0.0530906, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 2.435242, 0.03052049, flat, 183.8089, 393.0704, 104.8049, 0, 2.501942, 2.4133, -0.12904, 0.463095, 0.463095, 0.7446037, 9.094335, 7.826315, -0.015809, 0.07295975, 0.07295975, 0.994537, 8.617006, 8.618328, -0.03103603, -0.05987913, -0.05987913, 0.9959246, 7.984385, 7.658014, -0.01824883, -0.1918928, -0.1918928, 0.9623, 8.555612, 9.596488, 0.00607197, -0.363055, -0.363055, 0.8581057, 0.06056927, -0.1993704, -0.1993704, 0.9575146, -0.0622457, -0.07797708, -0.07797708, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 3.710874, 0.1177556, flat, 183.8089, 393.0704, 104.8049, 0, 2.281133, 1.223973, -0.122976, 0.4522491, 0.4522491, 0.7588271, 8.513962, 9.305989, -0.03662217, 0.0727623, 0.0727623, 0.9940172, 8.46798, 8.493938, -0.07889798, -0.04446637, -0.04446637, 0.9948973, 6.262219, 5.260193, -0.1132395, -0.1838892, -0.1838892, 0.9589298, 7.0121, 7.495095, -0.09671014, -0.3724369, -0.3724369, 0.8445287, -0.02863903, -0.1028031, -0.1028031, 0.9889605, -0.05438675, -0.06638248, -0.06638248, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 5.59975, 0.03832635, flat, 183.8089, 393.0704, 104.8049, 0, 0.8575217, 2.715196, -0.12649, 0.4446447, 0.4446447, 0.7671913, 9.18286, 8.360672, -0.008354372, 0.09836937, 0.09836937, 0.990241, 9.414526, 9.708976, -0.04171573, -0.02595809, -0.02595809, 0.9984549, 8.907614, 8.660977, -0.05861903, -0.1660009, -0.1660009, 0.9702841, 9.931869, 9.806963, -0.03151855, -0.3669476, -0.3669476, 0.854228, 0.08545643, -0.1075684, -0.1075684, 0.98466, -0.05381205, -0.09121791, -0.09121791, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 7.372104, 0.1289521, flat, 183.8089, 393.0704, 104.8049, 0, 6.713554, 3.140805, -0.1973641, 0.4027785, 0.4027785, 0.7978637, 8.915375, 7.875892, -0.08085687, 0.138471, 0.138471, 0.9772992, 6.573367, 6.242715, -0.132244, 0.0162837, 0.0162837, 0.9909497, 4.328391, 4.50737, -0.1809616, -0.1385175, -0.1385175, 0.9637836, 5.222134, 7.312495, -0.1351745, -0.3728019, -0.3728019, 0.8389072, 0.1013291, 0.1818628, 0.1818628, 0.961033, -0.005029112, -0.09716868, -0.09716868, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 8.829967, 0.05880675, flat, 183.8089, 393.0704, 104.8049, 0, 2.81369, 0.5222706, -0.1525612, 0.405049, 0.405049, 0.8053545, 9.197273, 10.19707, -0.09118167, 0.09616254, 0.09616254, 0.9865047, 9.53502, 9.284551, -0.1632227, -0.007916467, -0.007916467, 0.9865257, 7.619786, 6.711918, -0.2156789, -0.1441375, -0.1441375, 0.954951, 9.059135, 9.050781, -0.1927024, -0.3512383, -0.3512383, 0.8462442, -0.0009854909, 0.1007461, 0.1007461, 0.9897977, -0.01261892, -0.07404363, -0.07404363, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 10.76847, 0.06482105, flat, 183.8089, 393.0704, 104.8049, 0, 5.26023, 1.441844, -0.1614355, 0.3997534, 0.3997534, 0.8089085, 7.310376, 7.462929, -0.1075914, 0.07394407, 0.07394407, 0.9886803, 8.309904, 7.912097, -0.1547304, -0.03562501, -0.03562501, 0.9866713, 7.585532, 6.009685, -0.2005036, -0.1685307, -0.1685307, 0.9502595, 8.043837, 7.676545, -0.1737954, -0.3684004, -0.3684004, 0.8356779, -0.1154047, 0.006845653, 0.006845653, 0.9932714, -0.03283483, -0.04927552, -0.04927552, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 12.72312, 0.03964528, flat, 183.8089, 393.0704, 104.8049, 0, 2.397187, 6.007303, -0.1959472, 0.3701964, 0.3701964, 0.8291646, 7.857927, 8.692873, -0.09766104, 0.08263743, 0.08263743, 0.9883342, 8.321333, 8.652309, -0.1549554, -0.02782378, -0.02782378, 0.9871376, 7.452456, 6.583175, -0.2082576, -0.1490428, -0.1490428, 0.9550923, 7.841148, 7.942875, -0.1881258, -0.3498683, -0.3498683, 0.8484061, -0.09717447, 0.193341, 0.193341, 0.9569721, -0.01197914, -0.06566079, -0.06566079, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 15.32421, 0.08903453, flat, 183.8089, 393.0704, 104.8049, 0, 1.575574, 0.8149337, -0.1179124, 0.4222998, 0.4222998, 0.7933615, 10.32962, 10.47985, -0.05944104, 0.08972844, 0.08972844, 0.9901335, 10.26027, 10.4402, -0.1207955, -0.02629004, -0.02629004, 0.9919809, 7.478819, 8.118443, -0.1558234, -0.1597488, -0.1597488, 0.9616027, 8.610006, 10.23116, -0.1266395, -0.3640739, -0.3640739, 0.8478578, 0.09996683, 0.001085111, 0.001085111, 0.9949896, -0.03523392, -0.1079049, -0.1079049, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 17.24582, 0.1730696, flat, 183.8089, 393.0704, 104.8049, 0, 0.5784457, 1.535059, -0.1455363, 0.4243019, 0.4243019, 0.7866098, 9.127914, 8.860357, 0.0341514, 0.1007244, 0.1007244, 0.9892133, 8.023726, 7.904626, -0.03283228, -0.0206928, -0.0206928, 0.9990324, 5.231057, 4.992771, -0.08590745, -0.1516541, -0.1516541, 0.972945, 6.033417, 6.523237, -0.08438595, -0.3589031, -0.3589031, 0.8574708, 0.06484058, -0.1040555, -0.1040555, 0.9869856, -0.052256, -0.115743, -0.115743, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
